Restaurant_Name,Cuisine,Price,Rating
Oinoa,Mediterranea | Europea | Del | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,5 of 5 bubbles
To Antikristo,Mediterranea | Greek | Healthy | Sou | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,5 of 5 bubbles
To Mikio Taverna,Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Theodosi Restaurant,Greek | Fu | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Corinna Star Restaurant,Seafood | Mediterranea | Europea | Greek | International | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Laganon,Italia | Mediterranea | Europea | Vegetarian Friendly | Vegan  | Gluten Free ,$,4.5 of 5 bubbles
Serenissima Restaurant,Mediterranea | Europea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$$$,5 of 5 bubbles
Colombo Kitchen & Bar,Mediterranea | Europea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
To Stachi,Mediterranea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Ta Meraklikia tou Boureksi,Steakhouse | Mediterranea | Europea | Greek | Healthy | Vegetarian Friendly | Vegan  | Gluten Free ,$,4.5 of 5 bubbles
Evgonia,Seafood | Mediterranea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4.5 of 5 bubbles
Kouzina e.p.e.,Mediterranea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
LA BODEGA,Italia | Mediterranea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4.5 of 5 bubbles
Salis,Mediterranea | Greek | Seafood | Europea | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
To Koutourouki,Mediterranea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$,4.5 of 5 bubbles
Talos Restaurant,Mediterranea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$,4.5 of 5 bubbles
Akrogiali Taverna,Europea | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
To Maridaki,Seafood | Mediterranea | Greek | Sou | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Tavern Strata,Mediterranea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Kariatis,Steakhouse | Pizza | Italia | Vegetarian Friendly | Vegan  | Gluten Free ,$$$$,4.5 of 5 bubbles
Portes,Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Arismari Cretan Creative Cuisine,Mediterranea | Greek | Seafood | Europea | Gluten Free  | Vegetarian Friendly | Vegan ,$$ - $$$,4.5 of 5 bubbles
Christianna Restaurant,Mediterranea | Greek | Seafood | Sou | Vegetarian Friendly | Vegan ,$$ - $$$,4.5 of 5 bubbles
Nesaki,Italia | Pizza | Mediterranea | Europea | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Oinopoieio,Mediterranea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Kritamon Coffee Wine Food,Mediterranea | Europea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Glossitses,Seafood | Mediterranea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Kalderimi,Mediterranea | Greek | Vegetarian Friendly,$$ - $$$,4.5 of 5 bubbles
To XANI Restaurant,Mediterranea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Chrisostomos,Mediterranea | Greek | Vegan  | Vegetarian Friendly | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Mon.Es,Greek | Vegetarian Friendly | Vegan ,$$ - $$$,5 of 5 bubbles
Palazzo Al Mare,Italia | Europea | Seafood | Mediterranea | Greek | Vegetarian Friendly | Gluten Free  | Vegan ,$$ - $$$,4.5 of 5 bubbles
63o Mezedosxoleion,Mediterranea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Pallas,Seafood | Mediterranea | Europea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
The Well of the Turk,Mediterranea | Turkish | Greek | Middle Easter | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Piato Restaurant,Greek | Mediterranea | Europea | Vegetarian Friendly,$$ - $$$,4.5 of 5 bubbles
Kormoranos Cafe Mezedopoleio,Cafe | Greek | Mediterranea | Vegan ,$,4.5 of 5 bubbles
Tamam Restaurant,Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Stelios,Seafood | Mediterranea | Greek | Vegetarian Friendly,$$ - $$$,4.5 of 5 bubbles
The Green Eye,Mediterranea | Greek | International | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Steki Restaurant - Taverna,Mediterranea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Lithos Restaurant Cafe,Mediterranea | Europea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Talassino Ageri,Seafood | Vegetarian Friendly | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Tholos Restaurant,Mediterranea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Adespoto,Mediterranea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Zachari & Alati,Fast Food | Vegetarian Friendly | Vegan ,$,4.5 of 5 bubbles
Achilleas,Seafood | Mediterranea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4.5 of 5 bubbles
Agapinis Tavern,Mediterranea | Greek | Vegetarian Friendly,$,5 of 5 bubbles
Boheme,Europea | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Taverna Kavouras,Seafood | Mediterranea | Greek | Sou | International | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Moutoupaki,Mediterranea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4.5 of 5 bubbles
Funky's,Pizza | Europea | Fast Food | Vegetarian Friendly,$,4.5 of 5 bubbles
Blue Restaurant,Seafood | Mediterranea | Greek | Healthy | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Me Nou & Krasi,Mediterranea | Seafood | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Legends Burgers & Beers,America | Barbecue,$$ - $$$,4.5 of 5 bubbles
Monastiri taverna,Greek | Cafe | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4 of 5 bubbles
Rudi's Bierhaus,,$$ - $$$,4.5 of 5 bubbles
Veneto-Ristorante Italiano,Italia | Pizza | Mediterranea | Europea | Vegetarian Friendly | Vegan ,$$ - $$$,4 of 5 bubbles
Volakas Fishtavern,Seafood | Mediterranea | Greek | Vegetarian Friendly,$$ - $$$,4.5 of 5 bubbles
Ta Chalkina,Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4 of 5 bubbles
Zepos Restaurant,Seafood | Greek | International | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4 of 5 bubbles
Throumbi sti Ladokolla,Greek | Vegetarian Friendly,$$ - $$$,4.5 of 5 bubbles
Mezedopolio Ftouka,Mediterranea | Greek | Vegetarian Friendly | Vegan ,$,4.5 of 5 bubbles
Amphora Restaurant,Greek | Mediterranea | Healthy | Vegetarian Friendly,$$ - $$$,4 of 5 bubbles
Ginger Concept,Italia | Europea | Mediterranea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4.5 of 5 bubbles
il Padrino Italian Restaurant Chania,Italia | Pizza | Seafood | Mediterranea | Europea | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Krio Vrisali,Mediterranea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4.5 of 5 bubbles
Plateia,Seafood | Mediterranea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4.5 of 5 bubbles
Se Anammena Karvouna,Fast Food | Greek | Mediterranea | Barbecue,$,4.5 of 5 bubbles
Enetikon Restaurant,Mediterranea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4 of 5 bubbles
Nama cocktails coffee & more,Greek | Cafe | Mediterranea | Europea | Vegetarian Friendly | Vegan ,$$ - $$$,4.5 of 5 bubbles
Mesogiako,Mediterranea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4.5 of 5 bubbles
Ta Bakaliarakia,Seafood | Mediterranea | Greek,$$ - $$$,4.5 of 5 bubbles
Taverna Koulouridis,Mediterranea | Greek,$,5 of 5 bubbles
Kebap House,Mediterranea | Fast Food | Greek,$,4.5 of 5 bubbles
Pork to Beef Wild,Greek | Fast Food,$,4.5 of 5 bubbles
Angelos Restaurant,,-,5 of 5 bubbles
Manos,Seafood | Mediterranea | Greek | Vegetarian Friendly,$$ - $$$,4 of 5 bubbles
Aroma Restaurant & Bar,Cafe | Mediterranea | Europea | Greek | Vegetarian Friendly,$$ - $$$,4.5 of 5 bubbles
O Kostas Grill House,Fast Food | Mediterranea | Barbecue | Greek,$,4.5 of 5 bubbles
Kalamaki Restaurant Beach Bar,Seafood | International | Mediterranea | Greek | Pizza,$$ - $$$,4 of 5 bubbles
Karnagio Resto,Mediterranea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4 of 5 bubbles
The Red Bicycle,Greek | Mediterranea | Vegetarian Friendly,$$ - $$$,4.5 of 5 bubbles
Mesostrato,Mediterranea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4 of 5 bubbles
Farmer s House,Mediterranea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4 of 5 bubbles
Apostolis Restaurant,Seafood | Mediterranea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4 of 5 bubbles
Ta Neoria,Mediterranea | Vegetarian Friendly | Vegan ,$$ - $$$,4 of 5 bubbles
Restaurant Doloma,Mediterranea | Greek | Vegetarian Friendly,$,4 of 5 bubbles
Taverna Temenia,Mediterranea | Greek,$,5 of 5 bubbles
Σχαρα Ψωμακι,Fast Food | Mediterranea | Greek | Vegetarian Friendly,$,4.5 of 5 bubbles
Argo Cafe Tavern,Mediterranea | Greek | Seafood | Vegetarian Friendly | Vegan ,$$ - $$$,4.5 of 5 bubbles
Irida Restaurant,Mediterranea | Europea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4 of 5 bubbles
Semiramis Restaurant,Mediterranea | Greek | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4 of 5 bubbles
Ela Taverna,Mediterranea | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4 of 5 bubbles
Mavro Provato,Mediterranea | Greek,$,4.5 of 5 bubbles
Kypros,Steakhouse | Mediterranea | Barbecue | Greek,$,4.5 of 5 bubbles
Bougatsa Chania,Cafe | Mediterranea | Greek,$,4.5 of 5 bubbles
Nymfes,Cafe | International | Greek | Mediterranea,$$ - $$$,4.5 of 5 bubbles
Stis Annas,Mediterranea | Greek | Vegetarian Friendly,$$ - $$$,4.5 of 5 bubbles
Oasis Souvlaki,Greek | Mediterranea,$,5 of 5 bubbles
Kertos Seafood Restaurant,Seafood | Mediterranea | Greek | Vegetarian Friendly,$$ - $$$,4 of 5 bubbles
Streat Food & Bar,Pizza | Cafe | International | Vegetarian Friendly | Vegan ,$,4.5 of 5 bubbles
Feidias,Cafe | Europea | Greek | International | Vegetarian Friendly | Vegan ,$$ - $$$,4.5 of 5 bubbles
Namaste Indian Punjabi Restaurant,India | Vegetarian Friendly | Vegan  | Gluten Free ,$$ - $$$,4.5 of 5 bubbles
Stou Pissa,Seafood | Mediterranea | Greek | Vegetarian Friendly,$,4.5 of 5 bubbles
The Italian Job,Italia | Pizza | Mediterranea | Fast Food,$,4.5 of 5 bubbles
Ta Platania Ths Spilias,Mediterranea | Greek,$,5 of 5 bubbles
Agkistri,Seafood | Mediterranea | Greek,$$ - $$$,4.5 of 5 bubbles
Faka,Seafood | Mediterranea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4 of 5 bubbles
Siroccos Restaurant,Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4 of 5 bubbles
Flamingos Bar & Restaurant,Mediterranea | Europea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4 of 5 bubbles
Petridis Restaurant,Seafood | Mediterranea | Greek | Vegetarian Friendly | Vegan ,$$ - $$$,4.5 of 5 bubbles
